CustomerID,FirstName,LastName,DOB,Gender,Phone,Email,Country,City,Postcode,RegistrationDate
C3000741,Angela,Underwood,1979-10-17,Other,885-214-6419x1185,anthony88@example.net,UK,Alexisberg,41959,2023-10-09
C8783015,Julie,Jones,Tomorrow,Other,460-846-7405x4884,klowe@example.com,United Kingdom,Thomasland,16619,2026-03-12
C2352450,Carolyn,French,1979-05-16,M,624.801.2205x223,millerjessica@example.com,UK,East Nicoleshire,20256,2025-10-08
C617186,Peter,Gomez,1941-04-23,Other,215.425.0299,dsalinas@example.org,UK,Ryanfort,01116,2023-01-29
C2661727,Nancy,Gregory,1940-10-31,NULL,(278)361-6113x431,jennifer16@example.org,U.K.,Benjaminport,08755,2024-01-04
C2875206,Robert,,1978-02-16,M,(736)880-7699x59734,brandybailey@example.net,UK,Williamsmouth,81913,2025-09-20
C1250372,Michael,Mclaughlin,2002-05-17,M,616.914.6003,lgomez@example.org,UK,Westville,91171,2023-01-31
C7090976,Heather,Ramirez,1980-05-09,F,(630)646-0100x204,petermason@example.org,GB,Michellechester,52138,2023-05-18
C6783202,Crystal,Lamb,1967-07-08,Other,001-803-781-0039,hgonzalez@example.net,United Kingdom,South Paige,80595,2024-09-10
C865095,Sheila,Olson,1939-04-04,F,455.248.3049x3316,wilsonjared@example.org,UK,Joshuafurt,69948,2023-06-19
C5968062,Joan,Martin,1971-01-13,Other,+1-214-701-7519x0436,brendagreen@example.net,GB,Hensleystad,87761,2024-12-21
C698292,Cody,Stone,1973-02-09,M,325.873.7220x4535,fhall@example.net,UK,Port Theresabury,72128,2023-06-02
C653659,Carrie,Johnson,1947-10-13,F,448.728.0046x36331,bgreen@example.org,GB,South Alyssa,60474,2022-01-27
C9267675,Megan,Savage,1956-05-16,Other,895-453-8372,michael13@example.net,England,Paulville,32678,2025-09-08
C7509432,Cassandra,Ortega,1968-02-05,M,909-891-1640x570,jamesmiranda@example.com,UK,New Stephanieside,47400,2025-05-29
C4644697,Jamie,Nielsen,1939-08-10,Other,(635)711-1210,jamesperez@example.com,U.K.,West Amber,75370,780669424
C2720986,Jimmy,Dickerson,1951-08-08,F,886-231-2880x7203,ebrown@example.net,UK,Lake Ryanhaven,55102,2023-02-14
C2329851,Cory,Richardson,1985-09-16,NULL,NULL,hsmith@example.com,GB,Bondport,94193,2025-11-02
C7256907,Wendy,Michael,1956-05-14,NULL,(492)352-8602,jennifermiller@example.org,UK,Jensenview,30448,2025-08-30
C4773770,Gary,Morrison,1945-01-19,NULL,+1-215-615-4745x0059,martinchristine@example.org,United Kingdom,Bennettshire,08595,2022-10-24
C964507,Charlene,Johnson,1961-08-14,F,001-477-384-4760x7059,mariah43@example.org,GB,Lake Stephanieview,41466,2023-05-02
C5088397,Danielle,Ross,2004-09-02,NULL,9802118934,qgordon@example.com,United Kingdom,Jenniferport,50625,2022-09-10
