CustomerID,FirstName,LastName,DOB,Gender,Phone,Email,Country,City,Postcode,RegistrationDate
C8139849,Timothy,Peterson,1960-06-11,F,001-385-351-8335x20170,paulpatricia@example.net,GB,New Brittany,15915,2024-08-21
C6889606,Johnny,Chambers,1948-06-05,NULL,+1-341-437-2592,patrick59@example.com,England,Stephenton,14897,2023-05-06
C7544050,Kayla,Cox,Tomorrow,Other,220-773-6974,shortmegan@example.com,U.K.,West Emmaville,31336,2025-12-21
C2814144,Robert,Villa,1937-10-09,NULL,(717)691-1054x06892,jacoblee@example.net,United Kingdom,Ramirezberg,02758,2022-12-14
C7269208,Crystal,Singleton,1974-06-28,F,(437)957-1282x18742,robertsmith@example.org,UK,East Lisaport,98320,2025-12-19
C2547626,David,Hoover,1942-03-09,Other,(712)591-0849x9996,jasonfields@example.net,England,West Anneville,75556,2025-09-17
C8702102,Katelyn,Lloyd,901231857,NULL,+1-657-622-4268x54174,lawsonchristopher@example.com,GB,Lake Katieport,11061,2023-10-07
C8677641,Chris,King,1966-09-07,Other,576.841.2911x2872,hillbethany@example.com,U.K.,Floresshire,91224,2022-01-07
C7639737,Dana,Ramirez,1994-11-09,NULL,296-742-1007x77859,dillonhayley@example.net,U.K.,Nancychester,12247,2023-11-21
C8008808,Rachel,Ewing,928864582,NULL,(832)338-2160x317,kelly90@example.net,United Kingdom,Myersview,77642,2025-08-28
C2823270,Levi,Edwards,1986-03-12,M,+1-305-634-6638x73281,ballkevin@example.net,United Kingdom,Smithshire,28315,2021-10-27
C7226839,Samantha,Chambers,2006-04-20,Other,940-768-4678x480,dkim@example.net,GB,Garrettbury,16594,2025-08-21
C4662133,Michelle,Brady,1960-10-04,M,(326)431-1733x4407,keith13@example.com,United Kingdom,Williamsburgh,55153,2024-08-24
C1809711,Phillip,Nunez,1965-12-19,F,513.290.4277x10272,megan59@example.net,U.K.,South Dawn,60115,2026-07-18
C5315734,Brenda,Woods,02-07-1993,M,938.523.1158,grahamangela@example.com,GB,South Tracey,54054,2024-01-28
C6400203,Tanya,Conner,1954-10-06,Other,3474951256,morrisonerica@example.net,U.K.,Jonesmouth,71977,2025-05-27
C1752351,Terry,Simon,1975-03-05,M,+1-738-938-2062,rebeccaduarte@example.org,United Kingdom,New Dawnfurt,05172,2023-05-04
C1502184,Robert,Jones,1975-11-25,Other,001-661-936-2811x064,bradleygonzalez@example.net,UK,Denisestad,78817,2022-04-21
C3287879,Yolanda,Nolan,1967-04-09,M,536.828.1807,petersbradley@example.net,GB,East Garychester,79163,2022-04-02
C8952220,Gary,Brown,1998-04-04,F,933.937.1972x587,hunterbelinda@example.com,GB,Jonathanberg,19402,2023-04-10
C7507544,Jose,Hancock,1943-05-16,M,(862)601-8320x149,lovejames@example.com,United Kingdom,Hernandezville,39022,2021-11-28
C6188781,Diane,Wilson,1944-12-30,F,(584)483-7459x9669,denise00@example.org,U.K.,East Veronicamouth,35558,Yesterday
C8296571,Clayton,Grant,1985-01-09,Other,879-743-8402x01590,andrewbrown@example.net,GB,Michaelton,81807,2024-05-23
C7463429,Luis,Pace,1981-06-28,M,+1-973-504-7798x68766,fcarpenter@example.org,UK,Michaelbury,30000,2023-10-08
C8373606,Nathan,Moore,2003-06-28,Other,001-506-994-6622x389,khenry@example.org,UK,East Bob,29305,2024-11-18
C3090589,April,Unknown,2006-08-21,M,(393)827-5243x8378,whitney70@example.org,UK,West Samanthashire,74806,2025-02-05
C3090107,Kayla,Dunn,1974-09-28,F,396-313-5004x90310,woodssara@example.org,GB,Walkerfurt,56379,2026-02-15
C7587466,Brett,Arroyo,1940-01-11,NULL,767.428.4719,emily95@example.org,GB,Stephenville,95651,08-23-2024
C8220848,N/A,Cruz,1947-12-08,NULL,(763)671-7679x3437,corteznatasha@example.net,United Kingdom,Murilloport,02612,2022-07-18
C3464014,Timothy,Mathis,1967-07-31,NULL,001-446-808-8518x89458,vpatterson@example.org,U.K.,West Davidville,71785,2024-03-23
C8814716,Caitlyn,Perry,1980-02-21,NULL,001-236-503-3094x722,kleinsara@example.org,UK,Heatherberg,43829,2024-07-04
C9818301,Aaron,Anderson,1965-06-13,Other,4999349506,petersendeborah@example.net,GB,Rodriguezport,36210,2021-10-10
C1803929,Amanda,Baker,1979-07-25,NULL,+1-906-680-2653x300,krystalcross@example.com,England,Jeremyfurt,46973,2025-11-01
C8480565,William,Wilson,1949-12-10,M,922.320.0159,jasonwong@example.org,UK,North Timothy,55248,2025-06-24
C3041941,Angela,Martin,1940-11-03,NULL,841.740.5936x074,mccarthyrobert@example.net,United Kingdom,Jamesville,15201,Yesterday
C2077056,Jason,Stein,1983-02-15,NULL,763.258.6324,katelynlyons@example.net,England,Lisaton,21575,2022-05-24
C4693447,Warren,Hicks,1955-03-14,Other,Unknown,reginamacias@example.com,U.K.,East Michael,71460,2023-04-03
C3321235,Sean,Flores,1946-06-20,F,374.650.0593,jmartin@example.com,U.K.,Leemouth,23603,2023-12-07
C2343340,Hannah,Gray,Yesterday,NULL,,copelandmelanie@example.org,GB,Kleinfurt,36075,942204007
C4317554,Robert,Williams,1939-03-29,Other,(912)421-3144x180,mwatts@example.com,England,Port Brandonton,90046,2024-04-15
C73610,Kimberly,Torres,1971-02-12,NULL,579.461.2585x379,vmcgrath@example.com,United Kingdom,Port Danielle,35808,2021-10-09
C3689320,Jessica,Charles,1953-12-25,NULL,295.859.8868x11937,anthony69@example.org,U.K.,Karenfort,42567,2023-03-24
C5282083,Sandy,Green,19811112,NULL,001-982-771-1113x58952,lopezkyle@example.org,United Kingdom,South Lonnieland,67191,2025-05-10
C2751826,Tammy,Hawkins,1987-10-20,F,(389)476-0258,shannon02@example.net,UK,Johnstad,72641,2024-08-01
C6707653,Veronica,Thompson,1973-02-24,NULL,609.226.6341x1144,benjaminwright@example.org,England,Katrinastad,09706,2023-11-02
C1265825,Amy,Munoz,1944-08-01,F,(906)578-6546,delgadosarah@example.com,UK,Thompsonstad,62237,2024-04-28
